RFP_ID,Status,Account_Name,Event_Name,Event_Type,Event_Format,Event_Configuration,Market_Segment,Organization_Industry,Lead_Source,Client_Priority,Inquiry_Date,Decision_Date,Decision_Days,Arrival_Date,Departure_Date,Nights,Lead_Time,Peak_Room_Block,Total_Room_Nights_Requested,Attendees,Has_Meeting_Space,Meeting_Spaces,Has_FnB_Requirements,Has_Special_Requirements,Response_Due_Days,Budget_Provided,Budget_Amount,Destinations_Considered,Forecasted_Occupancy,Baseline_ADR,Quoted_ADR,Proposed_Room_Revenue,Proposed_Meeting_Revenue,Proposed_FnB_Revenue,Proposed_Total_Revenue,Actual_Room_Nights,Actual_Room_Revenue,Actual_Meeting_Revenue,Actual_FnB_Revenue,Actual_Total_Revenue,Actual_Pickup_Rate,Actual_FnB_Per_Person,Lost_Reason,Year,Month,Num_Room_Types,Pct_Standard_Rooms,Pct_Premium_Rooms,Has_Suites,Rate_Spread,Min_Room_Rate,Max_Room_Rate,Suite_Rate,Standard_Rate,Peak_Night_Index,Night_Variance_Pct,Rooms_Night_1,Rooms_Night_2,Rooms_Night_3,Rooms_Night_4,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization
B-202301-62227,Booked,Veterans Group,Sports Team Tournament,SMERF,In-person,Full Package,Government,Government,Third-Party Planner,Medium,2022-10-04,2022-11-03,16,2023-01-01,2023-01-02,1,89,73,73,86,1,Half Ballroom,1,1,14,0.0,0.0,4,53.2,150.95,137.24,10018.52,1444.6,1545.03,13008.15,58,7959.92,1444.6,1471.46,10875.98,0.7945205479452054,17.11,,2023,1,3,60.6,39.4,1,122.05,131.95,254.0,254.0,131.95,1,0.0,73,0,0,0,2,4,1,16,1,0,1,Theater,2,0,1.25,1444.6,850,240,2426.73,1,0,0,0,0.0,0.72
B-202301-54473,Booked,HR Professionals Network,Annual Member Conference,Association,Hybrid,Full Package,Professional Services,Professional Services,Repeat Client,High,2022-03-21,2022-04-24,24,2023-01-02,2023-01-05,3,287,94,282,110,1,Half Ballroom,1,0,10,0.0,0.0,1,48.6,146.04,126.65,35715.3,1071.84,11533.83,48320.97,195,24696.75,1071.84,10984.6,36753.19,0.6914893617021277,99.86,,2023,1,2,58.3,41.7,1,105.19,131.32,236.51,236.51,131.32,2,5.2,82,94,87,0,1,6,3,36,1,0,1,Classroom,3,1,1.83,1071.84,2000,6340,11079.97,5,0,0,0,50.0,0.92
B-202301-75909,Booked,Legal Society,State Convention,Association,Virtual,Full Package,Legal,Legal,Direct Inquiry,High,2022-06-30,2022-08-05,24,2023-01-02,2023-01-05,3,186,71,213,81,1,Half Ballroom,1,1,12,1.0,73490.31,2,49.0,150.43,139.82,29781.66,1423.1,8217.53,39422.29,168,23489.76,1423.1,7826.22,32739.08,0.7887323943661971,96.62,,2023,1,4,56.6,43.4,1,103.47,126.05,229.52,229.52,126.05,2,1.8,70,71,68,0,2,8,3,36,1,0,1,Classroom,3,1,1.88,1423.1,2700,6012,11594.45,5,0,0,0,12.5,0.68
B-202301-24371,Booked,Insurance Federation,Professional Development Symposium,Association,In-person,Full Package,Finance,Finance,RFP,Medium,2022-06-19,2022-07-24,27,2023-01-03,2023-01-05,2,198,56,112,72,1,Half Ballroom,1,0,8,1.0,39071.75,3,54.1,145.51,121.22,13576.64,1392.67,12687.95,27657.26,90,10909.8,1392.67,12083.76,24386.23,0.8035714285714286,167.83,,2023,1,3,68.2,31.8,1,41.51,136.01,177.52,177.52,136.01,2,12.5,49,56,0,0,2,2,2,16,1,0,1,Theater,1,0,1.0,1392.67,300,2800,4231.75,5,0,0,0,100.0,0.6
B-202301-31174,Booked,Accounting Institute,Awards Gala Weekend,Association,In-person,Full Package,Finance,Finance,Third-Party Planner,Medium,2022-04-12,2022-05-08,16,2023-01-05,2023-01-08,3,268,59,177,81,1,Half Ballroom,1,0,10,0.0,0.0,2,45.3,149.36,127.32,22535.64,1677.51,8509.25,32722.4,113,14387.16,1677.51,8104.05,24168.72,0.6384180790960452,100.05,,2023,1,4,58.7,41.3,1,154.08,134.74,288.82,247.36,134.74,2,6.2,55,59,50,0,2,6,3,36,1,0,1,Theater,3,1,2.17,1677.51,2500,5552,10825.17,5,0,0,0,50.0,0.68
B-202301-98696,Booked,Social Event,Milestone Birthday Party,Wedding/Social,Hybrid,Rooms Only,Social,Social/Private,Third-Party Planner,Medium,2022-07-19,2022-08-13,22,2023-01-05,2023-01-06,1,170,33,33,36,0,,0,0,3,1.0,3902.88,4,46.5,152.15,128.13,4228.29,0.0,0.0,4228.29,18,2306.34,0.0,0.0,2306.34,0.5454545454545454,0.0,,2023,1,3,69.4,30.6,1,84.82,134.47,219.29,219.29,134.47,1,0.0,33,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202301-13478,Booked,Global Industries,Annual Sales Conference,Corporate,Hybrid,Full Package,Technology,Other,Third-Party Planner,Medium,2022-10-16,2022-11-04,12,2023-01-08,2023-01-10,2,84,72,144,83,1,Half Ballroom,1,0,7,0.0,0.0,4,49.5,145.43,128.92,18564.48,1321.36,5181.07,25066.91,135,17404.2,1321.36,4934.35,23659.91,0.9375,59.45,,2023,1,3,62.9,37.1,1,89.83,134.86,224.69,224.69,134.86,2,9.7,65,72,0,0,1,5,2,24,1,0,1,Theater,2,0,1.8,1321.36,1550,4494,7996.83,5,0,0,0,20.0,0.69
B-202301-14117,Booked,Banking Consortium,Leadership Summit,Corporate,In-person,Meeting Only,Finance,Finance,Direct Inquiry,Low,2022-11-15,2022-12-03,9,2023-01-08,2023-01-10,2,54,0,0,34,1,Breakout Room,0,1,9,1.0,11238.08,3,47.7,148.92,0.0,0.0,351.69,5056.55,5408.24,0,0.0,351.69,4815.76,5167.45,,141.64,,2023,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,2,2,16,0,0,1,Classroom,2,0,2.0,351.69,700,4420,7092.61,3,0,0,0,100.0,0.85
B-202301-63354,Booked,Accounting Institute,State Convention,Association,In-person,Full Package,Finance,Finance,RFP,High,2022-02-26,2022-03-31,25,2023-01-08,2023-01-10,2,316,64,128,72,1,Half Ballroom,1,0,8,1.0,37413.19,3,52.1,153.35,125.77,16098.56,1853.97,12449.05,30401.58,89,11193.53,1853.97,11856.24,24903.74,0.6953125,164.67,,2023,1,2,74.9,25.1,0,14.27,130.61,144.88,0.0,130.61,2,10.9,57,64,0,0,2,2,2,16,1,0,1,Classroom,2,0,1.5,1853.97,500,2840,4513.27,4,0,0,0,100.0,0.6
B-202301-84364,Booked,Legal Society,Regional Chapter Meeting,Association,Hybrid,Full Package,Legal,Legal,Referral,Medium,2022-02-22,2022-03-21,14,2023-01-08,2023-01-11,3,320,51,153,57,1,Half Ballroom,1,1,13,1.0,43376.65,1,48.5,149.92,128.68,19688.04,1384.39,12296.18,33368.61,113,14540.84,1384.39,11710.65,27635.88,0.738562091503268,205.45,,2023,1,2,64.3,35.7,1,44.93,187.36,232.29,232.29,232.29,2,8.8,40,51,45,0,1,3,3,24,1,0,1,Banquet,2,0,1.33,1384.39,650,4080,6507.65,5,0,0,0,100.0,0.47
B-202301-24168,Booked,Technology Innovators,Town Hall Meeting,Corporate,In-person,Full Package,Technology,Technology,Third-Party Planner,High,2022-11-18,2022-12-10,14,2023-01-09,2023-01-11,2,52,114,228,155,1,Grand Ballroom,1,1,8,0.0,0.0,2,44.4,155.51,127.96,29174.88,2243.7,25138.37,56556.95,203,25975.88,2243.7,23941.3,52160.88,0.8903508771929824,154.46,,2023,1,3,57.2,42.8,0,156.52,126.12,282.64,0.0,126.12,2,7.9,105,114,0,0,1,2,2,16,1,0,1,Classroom,3,1,3.0,2243.7,1300,25110,31243.84,4,0,0,0,100.0,0.65
B-202301-84341,Booked,Pharmaceutical Partners,Town Hall Meeting,Corporate,In-person,Full Package,Healthcare,Healthcare,Sales Call,Low,2022-09-15,2022-10-01,7,2023-01-09,2023-01-10,1,116,39,39,45,1,Half Ballroom,1,1,9,0.0,0.0,3,48.3,143.36,123.51,4816.89,1246.56,3591.94,9655.39,36,4446.36,1246.56,3420.9,9113.82,0.9230769230769232,76.02,,2023,1,2,52.4,47.6,1,114.86,178.04,292.9,178.04,292.9,1,0.0,39,0,0,0,1,1,1,8,1,0,1,Classroom,2,0,2.0,1246.56,350,1248,2257.06,3,0,0,0,100.0,0.38
B-202301-89507,Booked,Private Party,Williams-Brown Wedding,Wedding/Social,In-person,Full Package,Social,Social/Private,Cvent,Low,2022-05-22,2022-06-16,17,2023-01-09,2023-01-10,1,232,20,20,27,1,Breakout Room,1,1,8,0.0,0.0,3,50.5,153.38,128.4,2568.0,528.97,3510.3,6607.27,11,1412.4,528.97,3343.14,5284.51,0.55,123.82,,2023,1,3,55.0,45.0,1,161.13,132.0,293.13,180.3,132.0,1,0.0,20,0,0,0,1,1,1,4,0,0,1,Reception,2,0,2.0,528.97,350,1485,2469.24,1,1,0,1,0.0,0.68
B-202301-67433,Booked,Professional Engineers Society,Certification Training,Association,Hybrid,Meeting Only,Association,Other,Third-Party Planner,Low,2022-04-17,2022-05-06,14,2023-01-12,2023-01-14,2,270,0,0,115,1,Half Ballroom,0,1,5,0.0,0.0,3,47.1,155.93,0.0,0.0,1258.37,7741.28,8999.65,0,0.0,1258.37,7372.65,8631.02,,64.11,,2023,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,6,2,24,1,0,1,Theater,3,1,2.33,1258.37,2800,4712,9571.24,5,0,0,0,0.0,0.96
B-202301-97841,Booked,Service Club,Military Reunion,SMERF,In-person,Full Package,SMERF,Social/Community,Cvent,Low,2022-08-28,2022-09-26,16,2023-01-12,2023-01-13,1,137,33,33,43,1,Half Ballroom,1,0,13,0.0,0.0,2,45.5,151.53,130.17,4295.61,1301.76,1210.47,6807.84,27,3514.59,1301.76,1152.83,5969.18,0.8181818181818182,26.81,,2023,1,3,73.2,26.8,0,14.99,135.83,150.82,0.0,135.83,1,0.0,33,0,0,0,1,2,1,8,1,0,1,Classroom,1,0,1.0,1301.76,300,940,1944.12,2,0,0,0,0.0,0.36
B-202301-93886,Booked,Social Event,Anniversary Celebration,Wedding/Social,In-person,Full Package,Social,Social/Private,RFP,Low,2022-02-07,2022-03-05,18,2023-01-13,2023-01-14,1,340,36,36,41,1,Half Ballroom,1,0,8,0.0,0.0,2,45.9,153.71,138.37,4981.32,1318.29,5622.33,11921.94,20,2767.4,1318.29,5354.6,9440.29,0.5555555555555556,130.6,,2023,1,2,59.8,40.2,1,34.48,153.11,187.59,187.59,153.11,1,0.0,36,0,0,0,1,1,1,4,1,0,1,Banquet,0,0,0.0,1318.29,0,1320,1670.75,1,1,0,1,0.0,0.34
B-202301-38016,Booked,Heritage Travel,Regional Arts Tour,SMERF,In-person,Full Package,SMERF,SMERF,Cvent,Medium,2022-11-19,2022-12-11,14,2023-01-14,2023-01-15,1,56,13,13,17,1,Breakout Room,1,0,8,1.0,3391.41,1,46.5,139.47,122.89,1597.57,581.88,0.0,2179.45,11,1351.79,581.88,0.0,1933.67,0.8461538461538461,0.0,,2023,1,4,65.4,34.6,1,120.19,145.36,265.55,194.63,145.36,1,0.0,13,0,0,0,1,1,1,4,0,0,1,Banquet,0,0,0.0,581.88,0,0,657.41,0,0,0,0,0.0,0.42
B-202301-82845,Booked,Real Estate Board,Leadership Institute,Association,In-person,Full Package,Government,Government,Referral,Medium,2022-05-11,2022-06-10,22,2023-01-14,2023-01-16,2,248,77,154,88,1,Half Ballroom,1,0,8,1.0,57150.39,2,49.0,158.39,139.8,21529.2,1238.61,5364.74,28132.55,106,14818.8,1238.61,5109.28,21166.69,0.6883116883116883,58.06,,2023,1,4,51.9,48.1,1,137.4,150.21,287.61,184.24,150.21,2,7.8,71,77,0,0,1,6,2,24,1,0,1,Theater,3,1,2.0,1238.61,2300,2940,7282.62,4,0,0,0,0.0,0.73
B-202301-44522,Booked,Private Party,Milestone Birthday Party,Wedding/Social,Hybrid,Full Package,Social,Social/Private,Cvent,Medium,2022-07-09,2022-08-30,41,2023-01-15,2023-01-16,1,190,45,45,59,1,Half Ballroom,1,1,11,1.0,13813.94,1,50.9,150.03,126.77,5704.65,1112.35,9223.74,16040.74,25,3169.25,1112.35,8784.51,13066.11,0.5555555555555556,148.89,,2023,1,4,59.8,40.2,1,150.7,143.43,294.13,239.62,144.58,1,0.0,45,0,0,0,1,2,1,8,1,0,1,Banquet,1,0,1.0,1112.35,300,1320,2315.84,1,1,0,1,0.0,0.49
B-202301-19862,Booked,Banking Consortium,Customer Advisory Board,Corporate,In-person,Full Package,Finance,Finance,Sales Call,Medium,2022-09-24,2022-10-13,9,2023-01-18,2023-01-20,2,116,48,96,60,1,Half Ballroom,1,1,10,1.0,29601.63,2,46.6,145.54,131.94,12666.24,1055.65,9026.64,22748.53,84,11082.96,1055.65,8596.8,20735.41,0.875,143.28,,2023,1,3,59.5,40.5,1,33.0,136.06,169.06,169.06,154.97,2,10.4,43,48,0,0,1,2,2,16,1,0,1,Banquet,2,0,2.0,1055.65,700,2568,4377.37,4,0,0,0,100.0,0.5
