Field_Name,Description,Data_Type,New_Field,Used_In_Model,Source
RFP_ID,Unique RFP identifier,Text,No,,Original
Status,Booking status (Booked or Lost),Text,No,,Original
Account_Name,Client organization name,Text,No,,Original
Event_Name,Name of the event,Text,No,,Original
Event_Type,"Corporate, Association, Wedding/Social, SMERF, Tour/Travel",Text,No,All models (encoded),Original
Event_Format,"In-person, Virtual, Hybrid",Text,Yes,Pickup/Conversion/F&B,Cvent
Event_Configuration,"Rooms Only, Meeting Only, Full Package",Text,No,All models (encoded),Original
Market_Segment,"Technology, Healthcare, Finance, etc.",Text,Yes,Pickup/Conversion/F&B,Cvent
Organization_Industry,Client industry,Text,Yes,,Cvent
Lead_Source,"Sales Call, Cvent, Referral, etc.",Text,No,Pickup/Conversion,Original
Client_Priority,"Low, Medium, High",Text,Yes,All models,Cvent
Inquiry_Date,Date RFP received,Date,No,,Original
Decision_Date,Date client decided,Date,No,,Original
Decision_Days,Days from inquiry to decision,Integer,Yes,Conversion,Derived
Arrival_Date,Event start date,Date,No,,Original
Departure_Date,Event end date,Date,No,,Original
Nights,Number of nights,Integer,No,All models,Original
Lead_Time,Days from inquiry to arrival,Integer,No,All models,Derived
Peak_Room_Block,Peak night room block,Integer,No,All models,Original
Total_Room_Nights_Requested,Block × nights,Integer,No,Pickup/ADR,Original
Attendees,Event attendees,Integer,No,All models,Original
Has_Meeting_Space,Meeting space required (0/1),Integer,Yes,Pickup/Conversion,Derived
Meeting_Spaces,Specific rooms requested,Text,No,,Original
Has_FnB_Requirements,F&B required (0/1),Integer,Yes,Pickup/Conversion/F&B,Derived
Has_Special_Requirements,Special needs noted (0/1),Integer,Yes,Conversion/F&B,Cvent
Response_Due_Days,Days to respond,Integer,Yes,Conversion,Cvent
Budget_Provided,Client gave budget (0/1),Integer,Yes,Pickup/Conversion/F&B,Cvent
Budget_Amount,Stated budget,Currency,Yes,,Cvent
Destinations_Considered,Competing venues (1-5),Integer,Yes,Pickup/Conversion,Cvent
Forecasted_Occupancy,Hotel occupancy forecast for dates (0-100),Percentage,No,Conversion/ADR,Daily data
Baseline_ADR,Market rate for dates,Currency,No,Conversion,Daily data
Quoted_ADR,Quoted room rate,Currency,No,Pickup/Conversion,Original
Actual_Pickup_Rate,Actual/requested room nights (booked only),Float,Yes,Pickup target,Derived
Actual_FnB_Per_Person,F&B per attendee per day (booked only),Currency,Yes,F&B target,Derived
Num_Room_Types,Sleeping room types in block (1-6),Integer,Yes,All models,Room grid
Pct_Standard_Rooms,% standard king/twin,Float,Yes,Pickup/F&B,Room grid
Pct_Premium_Rooms,% superior + suite,Float,Yes,All models,Room grid
Has_Suites,Suites in block (0/1),Integer,Yes,All models,Room grid
Rate_Spread,Max minus min room rate,Currency,Yes,Pickup/Conversion,Room grid
Night_Variance_Pct,Nightly block variance %,Float,Yes,Pickup/Conversion,Room grid
Num_Meeting_Rooms,Conference/meeting rooms requested (0-4),Integer,Yes,All except ADR,Meeting grid
Num_Sessions,Total session count across all days and rooms,Integer,Yes,Conversion/F&B,Meeting grid
Total_Meeting_Hours,Sum of all session hours,Integer,Yes,Pickup/Conversion/F&B,Meeting grid
Uses_Ballroom,Grand Ballroom requested (0/1),Integer,Yes,Conversion,Meeting grid
Uses_Boardroom,Boardroom requested (0/1),Integer,Yes,Conversion,Meeting grid
Num_Setup_Styles,Distinct setup styles used,Integer,No,,Meeting grid
Primary_Setup,"Most common setup (Theater, Classroom, Boardroom, etc.)",Text,No,,Meeting grid
Max_AV_Level,"Highest AV package (0=None, 1=Basic, 2=Standard, 3=Premium)",Integer,Yes,Pickup/Conversion,Meeting grid
Has_Premium_AV,Premium AV package requested (0/1),Integer,Yes,Conversion,Meeting grid
Avg_AV_Level,Average AV level across sessions,Float,No,,Meeting grid
Total_Room_Rental,Sum of meeting room rental charges,Currency,No,,Meeting grid
Total_AV_Cost,Sum of AV charges,Currency,No,,Meeting grid
Total_Session_FnB,Sum of session F&B charges,Currency,No,,Meeting grid
Total_Meeting_Cost,Room rental + AV + session F&B,Currency,No,,Meeting grid
Num_FnB_Types,"Distinct F&B items (breakfast, lunch, breaks, dinner, reception)",Integer,Yes,Pickup/Conversion/F&B,Meeting grid
Has_Dinner,Dinner service requested (0/1),Integer,Yes,Conversion/F&B,Meeting grid
Has_Reception,Cocktail reception requested (0/1),Integer,Yes,Conversion/F&B,Meeting grid
Has_Evening_Session,Evening sessions scheduled (0/1),Integer,Yes,Conversion/F&B,Meeting grid
Full_Day_Pct,% of sessions that are full-day,Float,Yes,Conversion/F&B,Meeting grid
Avg_Room_Utilization,Attendees / room capacity ratio,Float,Yes,Conversion,Meeting grid
Proposed_Room_Revenue,Quoted ADR × peak room block × nights,Currency,No,ADR/Conversion,Derived
Proposed_Meeting_Revenue,Proposed meeting room rental revenue,Currency,No,Conversion/F&B,Derived
Proposed_FnB_Revenue,Proposed food & beverage revenue,Currency,No,F&B,Derived
